# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
noun|noun|A word that names a person, place, thing, or idea|pangngalan|Salitang tumutukoy sa tao, lugar, bagay, o ideya|In the phrase the happy dog, the word dog is a noun.
verb|noun|A word that expresses an action or state|pandiwa|Salitang nagsasaad ng kilos o kalagayan|The word run is a verb because it shows an action.
adjective|noun|A word that describes a noun|pang-uri|Salitang naglalarawan sa pangngalan|In a red car, the word red is an adjective.
adverb|noun|A word that describes a verb, adjective, or another adverb|pang-abay|Salitang naglalarawan sa pandiwa, pang-uri, o kapwa pang-abay|In she runs quickly, the word quickly is an adverb.
pronoun|noun|A word used in place of a noun|panghalip|Salitang ginagamit kapalit ng pangngalan|Instead of repeating Maria, we use the pronoun she.
preposition|noun|A word showing the relation of a noun to another word|pang-ukol|Salitang nagpapakita ng kaugnayan ng pangngalan sa ibang salita|In the book is on the table, the word on is a preposition.
conjunction|noun|A word that joins words or clauses|pang-ugnay|Salitang nag-uugnay ng mga salita o sugnay|The word and joins two ideas in one sentence.
interjection|noun|A word that expresses sudden emotion|pandamdam|Salitang nagpapahayag ng biglaang damdamin|Wow is an interjection that shows surprise.
article|noun|A word that limits a noun, such as a, an, the|pantukoy|Salitang nagtatakda sa pangngalan, gaya ng a, an, the|The article the points to a specific noun.
determiner|noun|A word that introduces a noun|pantukoy|Salitang nagpapakilala sa pangngalan|In my book, the word my is a determiner.

# ---------------- Sentence Structure ----------------
sentence|noun|A group of words expressing a complete thought|pangungusap|Grupo ng mga salitang nagpapahayag ng buong diwa|Every sentence must end with a period or question mark.
phrase|noun|A small group of words without a subject and verb|parirala|Maliit na grupo ng mga salitang walang simuno at panaguri|In the morning is a phrase, not a full sentence.
clause|noun|A group of words with a subject and verb|sugnay|Grupo ng mga salitang may simuno at pandiwa|Because she smiled is a clause with a subject and verb.
subject|noun|The person or thing a sentence is about|simuno|Ang tao o bagay na pinag-uusapan sa pangungusap|In The cat sleeps, the subject is the cat.
predicate|noun|The part of a sentence that tells about the subject|panaguri|Bahagi ng pangungusap na nagsasabi tungkol sa simuno|In The cat sleeps, the predicate is sleeps.
object|noun|A noun acted upon by a verb|layon|Pangngalang tinatanggap ang kilos ng pandiwa|In She reads a book, the object is a book.
paragraph|noun|A group of related sentences|talata|Grupo ng magkakaugnay na pangungusap|Start a new paragraph when you change the topic.
declarative|adjective|Making a statement|pasalaysay|Nagsasaad ng pahayag|I like coffee is a declarative sentence.
interrogative|adjective|Asking a question|patanong|Nagtatanong|Do you like coffee is an interrogative sentence.
imperative|adjective|Giving a command|pautos|Nag-uutos|Close the door is an imperative sentence.
exclamatory|adjective|Expressing strong emotion|padamdam|Nagpapahayag ng matinding damdamin|What a beautiful day is an exclamatory sentence.
simple sentence|noun|A sentence with one independent clause|payak na pangungusap|Pangungusap na may isang sugnay na makapag-iisa|The dog barked is a simple sentence.
compound sentence|noun|A sentence with two or more independent clauses|tambalang pangungusap|Pangungusap na may dalawa o higit pang sugnay na makapag-iisa|I wanted tea, but she made coffee.
complex sentence|noun|A sentence with an independent and dependent clause|hugnayang pangungusap|Pangungusap na may sugnay na makapag-iisa at di-makapag-iisa|Because it rained, we stayed home.
topic sentence|noun|The sentence stating the main idea of a paragraph|paksang pangungusap|Pangungusap na nagsasaad ng pangunahing ideya ng talata|The first sentence of a paragraph is often the topic sentence.

# ---------------- Word Parts & Spelling ----------------
word|noun|A unit of language|salita|Yunit ng wika|The word dictionary has four syllables.
syllable|noun|A unit of pronunciation with one vowel sound|pantig|Yunit ng pagbigkas na may isang tunog ng patinig|The word water has two syllables.
letter|noun|A written symbol for a speech sound|titik|Nakasulat na simbolo ng tunog|The letter b is the first letter of ball.
vowel|noun|A speech sound made without closing the mouth|patinig|Tunog na ginagawa nang hindi isinasara ang bibig|The letters a, e, i, o, and u are vowels.
consonant|noun|A speech sound made with some closure|katinig|Tunog na ginagawa nang may pagsasara ng bibig|The letter m is a consonant.
alphabet|noun|The set of letters in a language|alpabeto|Hanay ng mga titik sa isang wika|The English alphabet has twenty-six letters.
spelling|noun|The correct arrangement of letters in a word|pagbaybay|Wastong pagsasaayos ng mga titik sa isang salita|Correct spelling is important in formal writing.
prefix|noun|Letters added to the beginning of a word|unlapi|Mga titik na idinaragdag sa simula ng salita|The prefix un- changes happy into unhappy.
suffix|noun|Letters added to the end of a word|hulapi|Mga titik na idinaragdag sa dulo ng salita|The suffix -ness changes kind into kindness.
root word|noun|The base form of a word|salitang-ugat|Batayang anyo ng isang salita|The root word of quickly is quick.
compound word|noun|A word made of two or more words|tambalang salita|Salitang binubuo ng dalawa o higit pang salita|Sunflower is a compound word made of sun and flower.
contraction|noun|A shortened form of two words|pinaikling salita|Pinaikling anyo ng dalawang salita|Don't is a contraction of do not.
acronym|noun|A word formed from the first letters of words|akronim|Salitang nabuo mula sa unang mga titik ng mga salita|NASA is an acronym for a space agency.
abbreviation|noun|A shortened form of a word or phrase|daglat|Pinaikling anyo ng salita o parirala|Ave. is an abbreviation of avenue.
capital letter|noun|A large form of a letter|malaking titik|Malaking anyo ng isang titik|Begin every sentence with a capital letter.

# ---------------- Punctuation ----------------
punctuation|noun|Marks used to make writing clear|bantas|Mga markang ginagamit upang maging malinaw ang sulat|Use correct punctuation so readers understand you.
period|noun|A dot ending a sentence|tuldok|Tuldok na nagtatapos ng pangungusap|Put a period at the end of a statement.
comma|noun|A mark showing a pause in a sentence|kuwit|Markang nagpapakita ng paghinto sa pangungusap|Use a comma between items in a list.
question mark|noun|A mark showing a question|tandang pananong|Markang nagpapakita ng tanong|End a question with a question mark.
exclamation point|noun|A mark showing strong feeling|tandang padamdam|Markang nagpapakita ng matinding damdamin|She wrote Wow with an exclamation point.
colon|noun|A mark introducing a list|tutuldok|Markang nagpapakilala ng talaan|Use a colon before a list of items.
semicolon|noun|A mark joining related clauses|tuldok-kuwit|Markang nag-uugnay ng magkaugnay na sugnay|A semicolon joins two closely related sentences.
apostrophe|noun|A mark showing possession or omission|kudlit|Markang nagpapakita ng pagmamay-ari o pagtanggal ng titik|The apostrophe in Maria's shows possession.
quotation mark|noun|Marks showing spoken or quoted words|panipi|Mga markang nagpapakita ng sinabi o siniping salita|Put spoken words inside quotation marks.
