# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
present simple|noun|The tense used for habits, routines and general facts|pangkasalukuyang simple|Panahunang ginagamit sa ugali, gawi at katotohanan|We use the present simple in "She walks to work."
present continuous|noun|The tense for something happening right now|kasalukuyang nagaganap|Panahunang ginagamit sa kasalukuyang ginagawa|"She is walking" is present continuous.
present perfect|noun|The tense linking a past action to the present|perpektong kasalukuyan|Panahunang nag-uugnay sa nakaraan at kasalukuyan|"I have finished" is present perfect.
present perfect continuous|noun|The tense for an action that started in the past and still continues|tuloy-tuloy na perpektong kasalukuyan|Panahunan para sa kilos na nagsimula noon at tuloy pa rin|"She has been studying for hours."
past simple|noun|The tense for a finished action at a definite past time|pangnakaraang simple|Panahunan para sa tapos nang kilos sa nakaraan|"He walked home" is past simple.
past continuous|noun|The tense for an action in progress at a past moment|nagaganap sa nakaraan|Panahunan para sa kilos na nagaganap noon|"She was reading when I called."
past perfect|noun|The tense for an action completed before another past action|perpektong nakaraan|Panahunan para sa kilos na natapos bago ang iba pang nakaraan|"He had left before we arrived."
past perfect continuous|noun|The tense for a continuing action that ended before another past event|tuloy-tuloy na perpektong nakaraan|Panahunan para sa tuloy-tuloy na kilos bago ang ibang nakaraan|"They had been waiting for an hour."
future simple|noun|The tense for a decision or prediction about the future|pangkinabukasang simple|Panahunan para sa hinaharap na kilos|"I will call you tomorrow."
future continuous|noun|The tense for an action that will be in progress later|magaganap sa hinaharap|Panahunan para sa kilos na gaganap sa hinaharap|"This time tomorrow I will be flying."
future perfect|noun|The tense for something that will be finished by a future time|perpektong hinaharap|Panahunan para sa matatapos bago dumating ang takdang oras|"By June she will have graduated."
going to future|noun|A form used for plans and intentions already decided|balak na kinabukasan|Anyo para sa napagpasyahang balak|"We are going to move house."
used to|verb|A form describing a past habit that has stopped|dati|Anyo para sa dating gawi na tapos na|"I used to live in Cebu."
would|verb|A form for repeated past actions or polite requests|dati o pakiusap|Anyo para sa paulit-ulit na nakaraan o magalang na hiling|"Every summer we would visit the farm."
auxiliary verb|noun|A helping verb such as be, do or have|pantulong na pandiwa|Pandiwang tumutulong sa pangunahing pandiwa|In "she is running", is is an auxiliary verb.
modal verb|noun|A verb such as can, must or should that shows possibility or obligation|modal na pandiwa|Pandiwang nagpapakita ng posibilidad o obligasyon|Must is a modal verb in "You must go."
base form|noun|The simplest form of a verb, with no ending|payak na anyo|Pinakasimpleng anyo ng pandiwa|The base form of "walked" is "walk".
past participle|noun|The verb form used in perfect tenses and the passive|pandiwaring nakaraan|Anyong ginagamit sa perpekto at balintiyak|The past participle of "eat" is "eaten".
present participle|noun|The -ing form of a verb|pandiwaring kasalukuyan|Anyong -ing ng pandiwa|"Running" is the present participle of "run".
transitive verb|noun|A verb that takes a direct object|palipat na pandiwa|Pandiwang may tuwirang layon|"She kicked the ball" uses a transitive verb.
intransitive verb|noun|A verb that takes no direct object|katawaning pandiwa|Pandiwang walang tuwirang layon|"He slept" uses an intransitive verb.
linking verb|noun|A verb that joins a subject to a description|pandiwang pang-ugnay|Pandiwang nag-uugnay ng simuno at paglalarawan|"She seems tired" uses a linking verb.
imperative mood|noun|The verb form used to give orders or instructions|pautos na modo|Anyong ginagamit sa pag-uutos|"Close the door" is in the imperative mood.
subjunctive|noun|A verb form for wishes, suggestions or unreal situations|panubhunhitibo|Anyo para sa hiling o di-tunay na sitwasyon|"If I were you" uses the subjunctive.
conditional|noun|A form describing what would happen if something else were true|pasakali|Anyong naglalarawan ng mangyayari kung may kondisyon|"I would help if I could" is conditional.
first conditional|noun|A pattern for a likely future result|unang pasakali|Balangkas para sa malamang na kinalabasan|"If it rains, we will stay in."
second conditional|noun|A pattern for an unlikely or imaginary situation|ikalawang pasakali|Balangkas para sa di-malamang na sitwasyon|"If I won the lottery, I would travel."
third conditional|noun|A pattern for an imagined change to the past|ikatlong pasakali|Balangkas para sa haka-hakang pagbabago ng nakaraan|"If she had studied, she would have passed."
tag question|noun|A short question added to the end of a statement|tanong na pandugtong|Maikling tanong na idinudugtong sa pahayag|"You're coming, aren't you?"
question tag|noun|The short phrase that turns a statement into a question|pandugtong na tanong|Maikling parirala na ginagawang tanong ang pahayag|"It's cold, isn't it?" ends with a question tag.
reported speech|noun|Telling what somebody said without quoting them exactly|salaysay na pahayag|Pagsasabi ng sinabi ng iba nang hindi tuwiran|"She said she was tired" is reported speech.
aspect|noun|Whether an action is finished, repeated or ongoing|aspekto|Kung ang kilos ay tapos, paulit-ulit o nagpapatuloy|The perfect aspect shows a completed action.
finite verb|noun|A verb that changes with the subject and tense|pandiwang may banghay|Pandiwang nagbabago ayon sa simuno at panahunan|"Walks" is a finite verb; "to walk" is not.
regular verb|noun|A verb that forms its past tense with -ed|regular na pandiwa|Pandiwang gumagamit ng -ed sa nakaraan|"Play" is a regular verb: played.
irregular verb|noun|A verb whose past forms do not follow the usual pattern|di-regular na pandiwa|Pandiwang hindi sumusunod sa karaniwang anyo|"Go" is an irregular verb: went, gone.
phrasal verb|noun|A verb plus a particle whose meaning is not literal|pandiwang parirala|Pandiwa at kasamang salita na may bagong kahulugan|"Give up" is a phrasal verb.
stative verb|noun|A verb describing a state rather than an action|pandiwang pang-estado|Pandiwang naglalarawan ng kalagayan, hindi kilos|"Know" is a stative verb.
causative|noun|A structure showing that somebody arranges for something to be done|pasanhi|Balangkas na nagpapakita ng pinagawa|"I had my hair cut" is causative.
inversion|noun|Putting the verb before the subject for emphasis or questions|pagbabaligtad|Paglalagay ng pandiwa bago ang simuno|"Never have I seen such a thing."
ellipsis|noun|Leaving out words that the listener can easily supply|pag-aalis ng salita|Pag-alis ng salitang madaling maunawaan|"Want some?" uses ellipsis for "Do you want some?"
concord|noun|The matching of subject and verb forms|pagkakatugma|Pagtutugma ng simuno at pandiwa|Concord requires "she walks", not "she walk".
zero article|noun|Using no article before a noun|walang pantukoy|Paggamit ng walang pantukoy|"I like music" has a zero article.
double negative|noun|Using two negatives where one is expected|dobleng pagtanggi|Paggamit ng dalawang pagtanggi|"I don't know nothing" is a double negative.
split infinitive|noun|Putting a word between "to" and a verb|hating pawatas|Paglalagay ng salita sa pagitan ng to at pandiwa|"To boldly go" is a split infinitive.

# ---------------- Irregular Verbs ----------------
arise|verb|To happen or come into being (arose, arisen)|bumangon|Mangyari o lumitaw|Problems arose during the meeting.
awake|verb|To stop sleeping (awoke, awoken)|gumising|Magising sa tulog|She awoke before dawn.
bear|verb|To carry or endure something (bore, borne)|magtiis|Magdala o magtiis|He could not bear the noise.
beat|verb|To hit repeatedly or to win against (beat, beaten)|talunin|Hampasin o manalo laban sa iba|Our team beat theirs by two goals.
become|verb|To start to be something (became, become)|maging|Magsimulang maging isang bagay|She became a teacher last year.
begin|verb|To start (began, begun)|magsimula|Umpisahan ang isang bagay|The film begins at eight.
bend|verb|To curve something (bent, bent)|baluktutin|Gawing hindi tuwid|He bent the wire into a hook.
bet|verb|To risk money on a result (bet, bet)|pumusta|Magtaya ng pera sa kinalabasan|I bet ten pounds on the race.
bind|verb|To tie or fasten together (bound, bound)|itali|Igapos o pagsamahin|The book was bound in leather.
bite|verb|To cut with the teeth (bit, bitten)|kagatin|Putulin gamit ang ngipin|The dog bit the postman.
bleed|verb|To lose blood (bled, bled)|dumugo|Mawalan ng dugo|The cut bled for a minute.
blow|verb|To move air from the mouth or of wind (blew, blown)|hipan|Magpalabas ng hangin|The wind blew all night.
breed|verb|To keep animals to produce young (bred, bred)|magpalahi|Mag-alaga upang magparami|They breed horses on the farm.
bring|verb|To carry something to a place (brought, brought)|dalhin|Magdala patungo sa isang lugar|Please bring your notes tomorrow.
build|verb|To make by putting parts together (built, built)|magtayo|Gumawa sa pamamagitan ng pagbuo|They built the house in a year.
burn|verb|To be on fire or damage with fire (burnt, burnt)|masunog|Magliyab o masira sa apoy|The toast burnt in the pan.
burst|verb|To break open suddenly (burst, burst)|pumutok|Sumabog nang biglaan|The pipe burst in the cold.
cast|verb|To throw or to choose actors (cast, cast)|ihagis|Ihagis o pumili ng artista|She was cast as the lead.
catch|verb|To take hold of something moving (caught, caught)|salohin|Hulihin ang gumagalaw|He caught the ball easily.
choose|verb|To pick one from several (chose, chosen)|pumili|Kumuha ng isa sa marami|Choose whichever you prefer.
cling|verb|To hold on tightly (clung, clung)|kumapit|Humawak nang mahigpit|The child clung to her mother.
creep|verb|To move slowly and quietly (crept, crept)|gumapang|Gumalaw nang dahan-dahan at tahimik|He crept up the stairs.
deal|verb|To handle or trade in something (dealt, dealt)|harapin|Asikasuhin o magkalakal|She dealt with the complaint calmly.
dig|verb|To make a hole in the ground (dug, dug)|humukay|Gumawa ng butas sa lupa|They dug a well behind the house.
draw|verb|To make a picture with lines (drew, drawn)|gumuhit|Gumawa ng larawan gamit ang linya|He drew a map for us.
drive|verb|To operate a vehicle (drove, driven)|magmaneho|Magpatakbo ng sasakyan|She drives to work every day.
dwell|verb|To live in a place (dwelt, dwelt)|manirahan|Tumira sa isang lugar|They dwelt in the valley for years.
feed|verb|To give food to (fed, fed)|pakainin|Magbigay ng pagkain|We feed the chickens at dawn.
flee|verb|To run away from danger (fled, fled)|tumakas|Tumakbo palayo sa panganib|The family fled the flood.
fling|verb|To throw with force (flung, flung)|ipukol|Ihagis nang malakas|He flung his bag on the bed.
forbid|verb|To order somebody not to do something (forbade, forbidden)|ipagbawal|Utusang huwag gawin|The rules forbid smoking here.
forgive|verb|To stop being angry with somebody (forgave, forgiven)|magpatawad|Tigilan ang galit sa iba|She forgave him at once.
freeze|verb|To turn to ice or stop moving (froze, frozen)|magyelo|Maging yelo o huminto|The lake froze overnight.
grind|verb|To crush into powder (ground, ground)|gilingin|Durugin hanggang maging pulbos|They grind the beans fresh.
hang|verb|To fix something at the top so it hangs down (hung, hung)|isabit|Ilagay upang nakalawit|Hang your coat by the door.
hide|verb|To put out of sight (hid, hidden)|magtago|Ilagay sa hindi makikita|He hid the key under a stone.
hold|verb|To have in your hands (held, held)|hawakan|Panatilihin sa kamay|Hold this for a moment.
hurt|verb|To cause pain (hurt, hurt)|masaktan|Magdulot ng sakit|My knee hurts when I run.
kneel|verb|To go down on your knees (knelt, knelt)|lumuhod|Ibaba ang tuhod sa lupa|She knelt to tie her shoe.
lead|verb|To guide or be in charge (led, led)|pamunuan|Manguna o mamahala|She led the team to victory.
lean|verb|To bend or rest against something (leant, leant)|sumandal|Ikiling o sumandig|He leant against the wall.
leap|verb|To jump a long way (leapt, leapt)|lumundag|Tumalon nang malayo|The cat leapt onto the roof.
lend|verb|To give something for a short time (lent, lent)|magpahiram|Ipagamit pansamantala|Can you lend me a pen?
light|verb|To make something burn or give light (lit, lit)|sindihan|Pagliyabin o bigyan ng liwanag|She lit the candles.
mean|verb|To have a particular sense (meant, meant)|ibig sabihin|Magkaroon ng tiyak na kahulugan|What does this word mean?
mislead|verb|To give somebody a wrong idea (misled, misled)|iligaw|Magbigay ng maling ideya|The advert misled customers.
pay|verb|To give money for something (paid, paid)|magbayad|Magbigay ng pera bilang kabayaran|I paid for the tickets.
prove|verb|To show that something is true (proved, proven)|patunayan|Ipakitang totoo|The results proved him right.
quit|verb|To leave a job or stop doing something (quit, quit)|umalis|Iwanan ang trabaho o itigil|He quit smoking last year.
rid|verb|To free from something unwanted (rid, rid)|alisin|Palayain sa bagay na ayaw|We rid the garden of weeds.
ring|verb|To make a bell sound or to telephone (rang, rung)|tumunog|Magpatunog o tumawag|The phone rang twice.
seek|verb|To try to find or obtain (sought, sought)|hanapin|Subukang makita o makuha|They sought advice from a lawyer.
sew|verb|To join cloth with a needle (sewed, sewn)|manahi|Pagdugtungin ang tela gamit ang karayom|She sewed a button on.
shake|verb|To move quickly from side to side (shook, shaken)|kalugin|Igalaw nang mabilis|Shake the bottle before use.
shine|verb|To give out light (shone, shone)|magningning|Maglabas ng liwanag|The sun shone all day.
shoot|verb|To fire a weapon (shot, shot)|barilin|Magpaputok ng sandata|He shot at the target.
shrink|verb|To become smaller (shrank, shrunk)|umurong|Maging mas maliit|The shirt shrank in the wash.
sink|verb|To go down below the surface (sank, sunk)|lumubog|Bumaba sa ilalim|The boat sank in the storm.
slide|verb|To move smoothly over a surface (slid, slid)|dumausdos|Gumalaw nang madulas|The book slid off the desk.
sow|verb|To plant seeds (sowed, sown)|maghasik|Magtanim ng buto|They sow wheat in autumn.
spill|verb|To let liquid fall out (spilt, spilt)|matapon|Mabuhos ang likido|I spilt coffee on my notes.
